YYYY,MM,DD,HH,WSPD,BAR,ATMP,WTMP,Timestamp (Days),Timestamp (Hours)
2005,1,15,7,8.8,1024.2,15.6,20.3,14.29166667,343
2005,1,15,8,8.5,1024.1,15.4,20.3,14.33333333,344
2005,1,15,9,8.7,1024.2,15.4,20.3,14.375,345
2005,1,15,10,8.8,1024,15.3,20.3,14.41666667,346
2005,1,15,11,8.3,1024.3,15.2,20.3,14.45833333,347
2005,1,15,12,8.8,1024.5,15.3,20.3,14.5,348
2005,1,15,13,8.6,1024.3,15.2,20.3,14.54166667,349
2005,1,15,14,7.6,1024.9,15.4,20.3,14.58333333,350
2005,1,15,15,8.6,1025.3,15.2,20.3,14.625,351
2005,1,15,16,9.2,1025.9,14.5,20.3,14.66666667,352
2005,1,15,17,8.7,1025.8,14.1,20.3,14.70833333,353
2005,1,15,18,8.7,1024.4,13.8,20.3,14.75,354
2005,1,15,19,8.4,1024.1,13.7,20.3,14.79166667,355
2005,1,15,20,8.8,1023.6,13.4,20.3,14.83333333,356
2005,1,15,21,9.2,1023.5,13.7,20.3,14.875,357
2005,1,15,22,9.7,1023.6,14,20.3,14.91666667,358
2005,1,15,23,10.5,1023.7,14.3,20.3,14.95833333,359
2005,1,16,0,10.7,1023.6,14.4,19.9,15,360
2005,1,16,1,9.9,1024.4,14.4,19.9,15.04166667,361
2005,1,16,2,10,1024.3,14.1,19.9,15.08333333,362
2005,1,16,3,9.5,1024.6,13.8,19.9,15.125,363
2005,1,16,4,9.4,1024.5,13.6,19.9,15.16666667,364
2005,1,16,5,9.2,1024.2,13.4,19.8,15.20833333,365
2005,1,16,6,7.9,1023.6,13.4,19.8,15.25,366
2005,1,16,7,7.5,1022.7,13.4,19.8,15.29166667,367
2005,1,16,8,8.2,1022.7,13.5,19.8,15.33333333,368
2005,1,16,9,8.3,1022.6,13.5,19.8,15.375,369
2005,1,16,10,8.7,1022.5,13.5,19.8,15.41666667,370
2005,1,16,11,8.1,1022.8,13.5,19.6,15.45833333,371
2005,1,16,12,9.7,1023.4,13.6,19.6,15.5,372
2005,1,16,13,8.9,1023.6,13.5,19.6,15.54166667,373
2005,1,16,14,10.3,1024.2,13.3,19.6,15.58333333,374
2005,1,16,15,8.9,1025,13.4,19.6,15.625,375
2005,1,16,16,9.6,1025.2,13.4,19.6,15.66666667,376
2005,1,16,17,8.5,1025.2,13.4,19.6,15.70833333,377
2005,1,16,18,7.9,1024.1,13.3,19.6,15.75,378
2005,1,16,19,8.8,1022.9,13.3,19.6,15.79166667,379
2005,1,16,20,7.9,1022.3,13.2,19.6,15.83333333,380
2005,1,16,21,9.5,1022.7,13.6,19.6,15.875,381
2005,1,16,22,9.9,1023.6,14.4,19.6,15.91666667,382
2005,1,16,23,10.7,1023.7,15.1,19.6,15.95833333,383
2005,1,17,0,9.3,1024,15.7,19.6,16,384
2005,1,17,1,10.8,1024.7,15.9,19.5,16.04166667,385
2005,1,17,2,9.3,1025.7,15.9,19.5,16.08333333,386
2005,1,17,3,9.6,1026.4,15.7,19.5,16.125,387
2005,1,17,4,10.3,1026.8,15.7,19.5,16.16666667,388
2005,1,17,5,9.9,1027.1,15.6,19.5,16.20833333,389
2005,1,17,6,10.4,1026.8,15.3,19.5,16.25,390
2005,1,17,7,10.3,1027,14.2,19.5,16.29166667,391
2005,1,17,8,10.3,1027.1,13.5,19.6,16.33333333,392
2005,1,17,9,10.9,1027.1,12.9,19.6,16.375,393
2005,1,17,10,11.3,1027,12,19.6,16.41666667,394
2005,1,17,11,10.8,1027.4,11.5,19.5,16.45833333,395
2005,1,17,12,10.9,1028.4,10.6,19.5,16.5,396
2005,1,17,13,10.4,1029,10,19.5,16.54166667,397
2005,1,17,14,10.7,1029.9,9.5,19.5,16.58333333,398
2005,1,17,15,10.2,1030.8,8.8,19.2,16.625,399
2005,1,17,16,9.1,1031.4,8.5,19.3,16.66666667,400
2005,1,17,17,9.1,1030.5,8.2,19.2,16.70833333,401
2005,1,17,18,8.6,1029.9,8.3,19.1,16.75,402
2005,1,17,19,8.5,1029,8.6,19.1,16.79166667,403
2005,1,17,20,8.2,1028.6,8.9,19.1,16.83333333,404
2005,1,17,21,7.5,1028.9,9.3,19.1,16.875,405
2005,1,17,22,8,1029,9.4,19.1,16.91666667,406
2005,1,17,23,7.9,1029.7,9.8,19.1,16.95833333,407
2005,1,18,0,8.3,1030.1,10.3,19.1,17,408
2005,1,18,1,10,1030.4,10.8,19.1,17.04166667,409
2005,1,18,2,9.9,1030.6,11.4,19.1,17.08333333,410
2005,1,18,3,10.3,1030.9,11.7,19.1,17.125,411
2005,1,18,4,9.4,1031.3,11.5,19.1,17.16666667,412
2005,1,18,5,9.4,1031.4,11.2,19.1,17.20833333,413
2005,1,18,6,8.9,1031.3,10.9,19.1,17.25,414
2005,1,18,7,8.3,1031.3,10.6,19.1,17.29166667,415
2005,1,18,8,7.8,1031.4,10.5,19.1,17.33333333,416
2005,1,18,9,8.4,1031.4,10.4,19.1,17.375,417
2005,1,18,10,7.9,1031.5,10.3,19,17.41666667,418
2005,1,18,11,9,1031.5,10.6,19,17.45833333,419
2005,1,18,12,9,1032,10,19,17.5,420
2005,1,18,13,9.2,1032.8,9.8,19.1,17.54166667,421
2005,1,18,14,8.3,1033.6,9.9,19.1,17.58333333,422
2005,1,18,15,8,1034.5,9.7,19.1,17.625,423
2005,1,18,16,8.3,1034.6,9.5,19.1,17.66666667,424
2005,1,18,17,8.2,1034.5,9.9,19.1,17.70833333,425
2005,1,18,18,8.2,1033.4,9.8,19.1,17.75,426
