Year,Name,Status,Latitude,Longitude,Wind Speed,Pressure,Timestamp,Max Wind,Before (0) or After (1)
2005,IRENE,HU,37.6N,57.3W,65,987,5490,90,1
2005,IRENE,TS,38.6N,55.0W,60,990,5496,90,1
2005,IRENE,TS,40.3N,52.3W,60,990,5502,90,1
2005,IRENE,TS,43.3N,48.9W,50,992,5508,90,1
2005,KATRINA,TD,23.1N,75.1W,30,1008,5634,150,0
2005,KATRINA,TD,23.4N,75.7W,30,1007,5640,150,0
2005,KATRINA,TD,23.8N,76.2W,30,1007,5646,150,0
2005,KATRINA,TS,24.5N,76.5W,35,1006,5652,150,0
2005,KATRINA,TS,25.4N,76.9W,40,1003,5658,150,0
2005,KATRINA,TS,26.0N,77.7W,45,1000,5664,150,0
2005,KATRINA,TS,26.1N,78.4W,50,997,5670,150,0
2005,KATRINA,TS,26.2N,79.0W,55,994,5676,150,0
2005,KATRINA,TS,26.2N,79.6W,60,988,5682,150,0
2005,KATRINA,HU,26.0N,80.1W,70,984,5686.3,150,0
2005,KATRINA,HU,25.9N,80.3W,70,983,5688,150,0
2005,KATRINA,HU,25.4N,81.3W,65,987,5694,150,0
2005,KATRINA,HU,25.1N,82.0W,75,979,5700,150,0
2005,KATRINA,HU,24.9N,82.6W,85,968,5706,150,0
2005,KATRINA,HU,24.6N,83.3W,90,959,5712,150,0
2005,KATRINA,HU,24.4N,84.0W,95,950,5718,150,0
2005,KATRINA,HU,24.4N,84.7W,100,942,5724,150,0
2005,KATRINA,HU,24.5N,85.3W,100,948,5730,150,0
2005,KATRINA,HU,24.8N,85.9W,100,941,5736,150,0
2005,KATRINA,HU,25.2N,86.7W,125,930,5742,150,0
2005,KATRINA,HU,25.7N,87.7W,145,909,5748,150,0
2005,KATRINA,HU,26.3N,88.6W,150,902,5754,150,1
2005,KATRINA,HU,27.2N,89.2W,140,905,5760,150,1
2005,KATRINA,HU,28.2N,89.6W,125,913,5766,150,1
2005,KATRINA,HU,29.3N,89.6W,110,920,5771.1,150,1
2005,KATRINA,HU,29.5N,89.6W,110,923,5772,150,1
2005,KATRINA,HU,30.2N,89.6W,105,928,5774.45,150,1
2005,KATRINA,HU,31.1N,89.6W,80,948,5778,150,1
2005,KATRINA,TS,32.6N,89.1W,50,961,5784,150,1
2005,KATRINA,TS,34.1N,88.6W,40,978,5790,150,1
2005,KATRINA,TD,35.6N,88.0W,30,985,5796,150,1
2005,KATRINA,TD,37.0N,87.0W,30,990,5802,150,1
2005,KATRINA,EX,38.6N,85.3W,30,994,5808,150,1
2005,KATRINA,EX,40.1N,82.9W,25,996,5814,150,1
2005,MARIA,TD,18.8N,45.5W,30,1008,5844,100,0
2005,MARIA,TD,19.3N,46.2W,30,1008,5850,100,0
2005,MARIA,TD,19.9N,47.2W,30,1008,5856,100,0
2005,MARIA,TD,20.5N,48.3W,30,1008,5862,100,0
2005,MARIA,TS,21.1N,49.4W,35,1006,5868,100,0
2005,MARIA,TS,21.5N,50.2W,40,1003,5874,100,0
2005,MARIA,TS,22.0N,51.0W,45,1001,5880,100,0
2005,MARIA,TS,23.0N,52.0W,45,1000,5886,100,0
2005,MARIA,TS,24.4N,53.1W,50,997,5892,100,0
2005,MARIA,TS,25.5N,54.0W,55,994,5898,100,0
2005,MARIA,TS,26.5N,54.6W,60,990,5904,100,0
2005,MARIA,HU,27.5N,55.1W,65,987,5910,100,0
2005,MARIA,HU,28.6N,55.5W,65,987,5916,100,0
2005,MARIA,HU,29.6N,56.0W,75,980,5922,100,0
2005,MARIA,HU,30.2N,56.5W,75,980,5928,100,0
2005,MARIA,HU,30.9N,56.8W,80,977,5934,100,0
2005,MARIA,HU,31.5N,56.8W,85,975,5940,100,0
2005,MARIA,HU,32.1N,56.7W,90,970,5946,100,0
2005,MARIA,HU,32.6N,56.6W,100,962,5952,100,1
2005,MARIA,HU,33.0N,56.5W,90,970,5958,100,1
2005,MARIA,HU,33.5N,56.0W,80,975,5964,100,1
2005,MARIA,HU,33.9N,55.4W,75,980,5970,100,1
2005,MARIA,HU,34.4N,54.6W,65,987,5976,100,1
2005,MARIA,HU,34.8N,53.3W,70,983,5982,100,1
2005,MARIA,HU,35.6N,51.8W,75,980,5988,100,1
2005,MARIA,HU,36.5N,50.8W,75,980,5994,100,1
2005,MARIA,HU,37.2N,49.9W,70,982,6000,100,1
2005,MARIA,HU,37.9N,49.0W,65,985,6006,100,1
2005,MARIA,HU,38.7N,48.0W,65,985,6012,100,1
2005,MARIA,HU,39.1N,47.2W,65,985,6018,100,1
2005,MARIA,TS,39.4N,46.4W,60,987,6024,100,1
2005,MARIA,TS,39.8N,44.9W,55,987,6030,100,1
2005,MARIA,TS,40.4N,43.4W,55,988,6036,100,1
2005,MARIA,TS,41.1N,42.1W,50,988,6042,100,1
2005,MARIA,TS,41.9N,40.6W,50,988,6048,100,1
2005,MARIA,TS,42.9N,39.2W,50,988,6054,100,1
2005,MARIA,EX,44.5N,37.7W,50,980,6060,100,1
2005,MARIA,EX,46.0N,36.3W,55,975,6066,100,1
2005,MARIA,EX,48.0N,35.0W,60,975,6072,100,1
2005,MARIA,EX,50.0N,34.0W,60,974,6078,100,1
2005,MARIA,EX,52.0N,32.9W,65,971,6084,100,1
2005,MARIA,EX,54.0N,32.0W,65,968,6090,100,1
